id,latitude,longitude,price,review_count,rating,zip_code,city,alias,category
MlmcOkwaNnxl3Zuk6HsPCQ,34.0573614429986,-118.306769744705,$$,4105.0,4.5,90005,Los Angeles,slurpin-ramen-bar-los-angeles,"['ramen', 'noodles']"
JYGPEUZy4k5ObXGIjcD3DA,34.0639032,-118.3061281,$$,4796.0,4.0,90020,Los Angeles,hae-jang-chon-korean-bbq-restaurant-los-angeles,"['korean', 'bbq']"
uzAbw27XQTXTivjgf2bN2w,34.065414,-118.3095703125,$$,2122.0,4.5,90020,Los Angeles,han-bat-sul-lung-tang-los-angeles-2,"['korean', 'comfortfood', 'soup']"
sYn3SNQP-j2t2XSwjlCbRg,34.06469,-118.30876,$$,1618.0,4.5,90020,Los Angeles,montys-good-burger-los-angeles,"['burgers', 'vegan']"
Wjckf5QPdVQw1ZG82zEarA,34.061358,-118.310453,$$$,1990.0,4.5,90010,Los Angeles,m-grill-los-angeles,"['brazilian', 'steak', 'wine_bars']"
qAAoilHU25Qr45FOQlA19g,34.0637349,-118.2972751,$$,4139.0,4.5,90020,Los Angeles,kang-ho-dong-baekjeong-los-angeles-4,"['bbq', 'korean']"
Jrzd-QEY6X-t6CBAKkAXug,34.062880635935,-118.309975725759,$,1667.0,4.5,90005,Los Angeles,somisomi-los-angeles-3,['icecream']
NrzSO_pQ88A3jSMqh_QuNg,34.057544,-118.305579846558,$$,1616.0,4.5,90005,Los Angeles,magal-bbq-los-angeles,"['korean', 'bbq']"
HTFByVH44biQsc_R8sEOjg,34.0620862485445,-118.302658449143,$$,4027.0,4.0,90010,Los Angeles,bcd-tofu-house-los-angeles,['korean']
DrToq9357afdpOyO5w0Y5w,34.064009,-118.3007013,$$,1961.0,4.5,90020,Los Angeles,yup-dduk-la-los-angeles,['korean']
jv3v-cMrEAyeM2Py0apPtQ,34.0629013806047,-118.309997512967,$$,1342.0,4.0,90005,Los Angeles,sul-and-beans-los-angeles,"['desserts', 'coffee', 'shavedice']"
4LFbJ8P4jCh70ZNKRig0qw,34.063452,-118.299046,$$,3161.0,4.0,90020,Los Angeles,emc-seafood-and-raw-bar-los-angeles,"['seafood', 'raw_food', 'sushi']"
